id;receita_codigo;receita_descricao;receita_data_ocorrencia;receita_valor;dia;mes;ano;valor_mes;valor_ano;valor_receita_ano;valor_receita_mes;valor_consolidado_mes;valor_consolidado_ano;codigo_conta_contabil;descricao_conta_contabil;data_atualizacao;valor_jan;valor_fev;valor_mar;valor_abr;valor_mai;valor_jun;valor_jul;valor_ago;valor_set;valor_out;valor_nov;valor_dez
191825;741112043103010000;IRRF - INATIVOS PAGOS PELO RPPS - PRÓPRIO;2010-01-01;20358.82;1;1;2010;0.00;20358.82;20358.82;0.00;0.00;20358.82;741112043103010000;IRRF - INATIVOS PAGOS PELO RPPS - PRÓPRIO;2016-05-06T09:21:00.132595;1645.98;1687.81;1690.97;1212.76;1348.33;1462.46;1471.81;1475.17;1667.83;1667.83;1667.83;3360.04
191826;741112043103020000;IRRF - INATIVOS PAGOS PELO RPPS - MDE;2013-01-01;25009.66;1;1;2013;0.00;25009.66;25009.66;0.00;0.00;25009.66;741112043103020000;IRRF - INATIVOS PAGOS PELO RPPS - MDE;2016-05-06T09:21:00.139623;4815.56;2546.82;1332.19;1380.61;1235.01;2656.53;2380.80;2380.80;1768.17;1518.23;1455.15;1539.79
191827;741112043103020000;IRRF - INATIVOS PAGOS PELO RPPS - MDE;2010-01-01;8482.86;1;1;2010;0.00;8482.86;8482.86;0.00;0.00;8482.86;741112043103020000;IRRF - INATIVOS PAGOS PELO RPPS - MDE;2016-05-06T09:21:00.145989;685.83;703.25;704.57;505.32;561.81;609.36;613.26;614.65;694.93;694.93;694.93;1400.02
191828;741112043103020000;IRRF - INATIVOS PAGOS PELO RPPS - MDE;2011-01-01;11252.70;1;1;2011;0.00;11252.70;11252.70;0.00;0.00;11252.70;741112043103020000;IRRF - INATIVOS PAGOS PELO RPPS - MDE;2016-05-06T09:21:00.158813;815.87;815.87;853.05;838.45;832.74;832.74;844.41;855.51;855.51;855.51;855.51;1997.53
191829;741112043103020000;IRRF - INATIVOS PAGOS PELO RPPS - MDE;2012-01-01;12016.93;1;1;2012;0.00;12016.93;12016.93;0.00;0.00;12016.93;741112043103020000;IRRF - INATIVOS PAGOS PELO RPPS - MDE;2016-05-06T09:21:00.166113;909.77;909.77;922.06;936.25;977.83;968.07;956.95;977.82;974.74;974.74;1467.25;1041.68
191830;741112043103020000;IRRF - INATIVOS PAGOS PELO RPPS - MDE;2014-01-01;78484.67;1;1;2014;0.00;78484.67;78484.67;0.00;0.00;78484.67;741112043103020000;IRRF - INATIVOS PAGOS PELO RPPS - MDE;2016-05-06T09:21:00.172338;2965.37;2335.65;2863.38;3207.57;15220.36;3863.00;4293.70;4067.91;24408.32;5086.58;4721.93;5450.90
191831;741112043103040000;IRRF - INATIVOS PAGOS PELO RPPS - ASPS;2013-01-01;15005.78;1;1;2013;0.00;15005.78;15005.78;0.00;0.00;15005.78;741112043103040000;IRRF - INATIVOS PAGOS PELO RPPS - ASPS;2016-05-06T09:21:00.181483;2889.34;1528.09;799.31;828.36;741.00;1593.92;1428.48;1428.48;1060.90;910.94;873.09;923.87
191832;741112043103040000;IRRF - INATIVOS PAGOS PELO RPPS - ASPS;2014-01-01;47090.80;1;1;2014;0.00;47090.80;47090.80;0.00;0.00;47090.80;741112043103040000;IRRF - INATIVOS PAGOS PELO RPPS - ASPS;2016-05-06T09:21:00.195049;1779.23;1401.39;1718.03;1924.54;9132.22;2317.80;2576.20;2440.75;14644.99;3051.95;2833.16;3270.54
191833;741112043103040000;IRRF - INATIVOS PAGOS PELO RPPS - ASPS;2011-01-01;6751.62;1;1;2011;0.00;6751.62;6751.62;0.00;0.00;6751.62;741112043103040000;IRRF - INATIVOS PAGOS PELO RPPS - ASPS;2016-05-06T09:21:00.200891;489.52;489.52;511.83;503.07;499.64;499.64;506.64;513.31;513.31;513.31;513.31;1198.52
191834;741112043103040000;IRRF - INATIVOS PAGOS PELO RPPS - ASPS;2010-01-01;5089.70;1;1;2010;0.00;5089.70;5089.70;0.00;0.00;5089.70;741112043103040000;IRRF - INATIVOS PAGOS PELO RPPS - ASPS;2016-05-06T09:21:00.206503;411.50;421.95;422.74;303.19;337.08;365.61;367.95;368.79;416.96;416.96;416.96;840.01
